District,Market,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,1800,1700,12/9/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,2000,1800,11/11/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,1800,1700,10/7/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1700,1900,1800,9/9/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1700,2000,1850,9/2/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1700,1900,1800,3/25/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1800,2000,1900,2/4/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1700,2100,1900,1/28/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1500,1700,1600,1/7/2017
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1700,2000,1850,12/24/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,2000,1800,12/17/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1350,1750,1550,12/3/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,1800,1700,11/26/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,1800,1700,10/22/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,1700,1650,10/16/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,1800,1700,10/15/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,1700,1650,10/8/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,2000,1800,10/1/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1800,2000,1900,9/24/2016
Sangli,Aatpadi,Bajra(Pearl Millet/Cumbu),1600,2000,1800,9/17/2016
Sangli,Sangli,Bajra(Pearl Millet/Cumbu),2500,2800,2650,3/14/2024
Sangli,Sangli,Bajra(Pearl Millet/Cumbu),2500,2800,2650,3/13/2024
